Year,Date Of Incident,Route,Operator,Group Name,Bus Garage,Borough,Injury Result Description,Incident Event Type,Victim Category,Victims Sex,Victims Age
2015,01-01-15,16,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Adult
2015,01-01-15,17,Metroline,Metroline,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Pedestrian,Male,Unknown
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Child
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Elderly
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,18,Metroline West,Metroline,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Male,Adult
2015,01-01-15,21,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,01-01-15,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,23,Tower Transit,Tower Transit,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,24,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,25,Tower Transit,Tower Transit,Garage Not Available,City of London,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,27,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,27,London United,London United,Garage Not Available,Hammersmith & Fulham,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,27,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult
2015,01-01-15,27,London United,London United,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,27,London United,London United,Garage Not Available,Kensington & Chelsea,Taken to Hospital – Reported Serious Injury or Severity Unknown,Assault,Member Of Public,Male,Adult
2015,01-01-15,27,London United,London United,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,29,Arriva London North,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,29,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,29,Arriva London North,Arriva London,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,31,Tower Transit,Tower Transit,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Elderly
2015,01-01-15,32,Metroline,Metroline,Garage Not Available,Brent,Injuries treated on scene,Assault,Bus Driver,Female,Adult
2015,01-01-15,33,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,33,London United,London United,Garage Not Available,Hammersmith & Fulham,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Bus Driver,Female,Adult
2015,01-01-15,33,London United,London United,Garage Not Available,Richmond Upon Thames,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult
2015,01-01-15,33,London United,London United,Garage Not Available,Richmond Upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child
2015,01-01-15,34,Metroline,Metroline,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Male,Adult
2015,01-01-15,34,Metroline,Metroline,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,34,Metroline,Metroline,Garage Not Available,Waltham Forest,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child
2015,01-01-15,35,Abellio London,Abellio,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,37,Metrobus,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Collision Incident,Cyclist,Male,Adult
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,01-01-15,43,Metroline,Metroline,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,44,London General,Go-Ahead,Garage Not Available,Wandsworth,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,45,London Central,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Youth
2015,01-01-15,45,London Central,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,45,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,47,Selkent,Stagecoach,Garage Not Available,Lewisham,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,49,Abellio London,Abellio,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,50,Arriva London South,Arriva London,Garage Not Available,Croydon,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,51,Selkent,Stagecoach,Garage Not Available,Bexley,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,52,Metroline,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,52,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Cyclist,Male,Adult
2015,01-01-15,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,57,London United,London United,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,57,London United,London United,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,57,London United,London United,Garage Not Available,Merton,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,57,London United,London United,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child
2015,01-01-15,59,Arriva London South,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,59,Arriva London South,Arriva London,Garage Not Available,Lambeth,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,60,Arriva London South,Arriva London,Garage Not Available,Croydon,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,61,Selkent,Stagecoach,Garage Not Available,Bromley,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,63,Metrobus,Go-Ahead,Garage Not Available,City of London,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,67,Arriva London North,Arriva London,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child
2015,01-01-15,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child
2015,01-01-15,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child
2015,01-01-15,71,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,71,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child
2015,01-01-15,73,Arriva London North,Arriva London,Garage Not Available,Islington,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,73,Arriva London North,Arriva London,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,76,Arriva London North,Arriva London,Garage Not Available,Hackney,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,77,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,79,Metroline,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Collision Incident,Passenger,Male,Adult
2015,01-01-15,79,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Passenger,Female,Adult
2015,01-01-15,81,London United,London United,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Elderly
2015,01-01-15,81,London United,London United,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child
2015,01-01-15,83,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,85,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,88,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,89,London General,Go-Ahead,Garage Not Available,Lewisham,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,01-01-15,90,Metroline,Metroline,Garage Not Available,Hillingdon,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,91,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,91,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,93,London General,Go-Ahead,Garage Not Available,Merton,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Elderly
2015,01-01-15,93,London General,Go-Ahead,Garage Not Available,Wandsworth,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Male,Adult
2015,01-01-15,94,London United,London United,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,95,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Bus Driver,Female,Adult
2015,01-01-15,95,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,95,Metroline West,Metroline,Garage Not Available,Ealing,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,96,Selkent,Stagecoach,Garage Not Available,Bexley,Taken to Hospital – Reported Serious Injury or Severity Unknown,Vandalism Hooliganism,Passenger,Female,Adult
2015,01-01-15,96,Selkent,Stagecoach,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,97,Selkent,Stagecoach,Garage Not Available,Waltham Forest,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown
2015,01-01-15,102,Arriva London North,Arriva London,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,102,Arriva London North,Arriva London,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,102,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,104,Selkent,Stagecoach,Garage Not Available,Newham,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Unknown
2015,01-01-15,106,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown
2015,01-01-15,109,Arriva London South,Arriva London,Garage Not Available,Croydon,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,109,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Cyclist,Unknown,Unknown
2015,01-01-15,109,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Collision Incident,Motorcyclist,Male,Adult
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Safety Critical Failure,Passenger,Male,Adult
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,111,London United,London United,Garage Not Available,Hounslow,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,115,East London,Stagecoach,Garage Not Available,Newham,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Male,Adult
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Lambeth,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Child
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Collision Incident,Passenger,Female,Adult
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Collision Incident,Passenger,Male,Adult
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,121,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,123,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,125,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,131,London United,London United,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,134,Metroline,Metroline,Garage Not Available,Camden,Reported Minor Injury - Treated at Hospital,Collision Incident,Passenger,Female,Adult
2015,01-01-15,134,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,137,Arriva London South,Arriva London,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,137,Arriva London South,Arriva London,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,139,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,140,Metroline,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly
2015,01-01-15,140,Metroline,Metroline,Garage Not Available,Harrow,Injuries treated on scene,Collision Incident,Bus Driver,Male,Adult
2015,01-01-15,140,Metroline,Metroline,Garage Not Available,Harrow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,141,Arriva London North,Arriva London,Garage Not Available,Enfield,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,141,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,141,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown
2015,01-01-15,143,Metroline,Metroline,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,144,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,144,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,148,London United,London United,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,149,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,149,Arriva London North,Arriva London,Garage Not Available,Haringey,Fatal,Collision Incident,Pedestrian,Male,Adult
2015,01-01-15,149,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,150,Arriva London North,Arriva London,Garage Not Available,Croydon,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,151,London General,Go-Ahead,Garage Not Available,Sutton,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,154,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,154,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,155,London General,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,157,Abellio London,Abellio,Garage Not Available,Sutton,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult
2015,01-01-15,158,Selkent,Stagecoach,Garage Not Available,Waltham Forest,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown
2015,01-01-15,159,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,159,Arriva London South,Arriva London,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
2015,01-01-15,160,Arriva Kent Thameside,Arriva Kent Thameside,Garage Not Available,Greenwich,Injuries treated on scene,Assault,Passenger,Male,Adult
2015,01-01-15,160,Arriva Kent Thameside,Arriva Kent Thameside,Garage Not Available,Greenwich,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Elderly
2015,01-01-15,161,Metrobus,Go-Ahead,Garage Not Available,Greenwich,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult
2015,01-01-15,169,Selkent,Stagecoach,Garage Not Available,Redbridge,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Adult
2015,01-01-15,170,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Collision Incident,3rd Party driver / Occupant,Male,Adult
2015,01-01-15,172,Abellio London,Abellio,Garage Not Available,Lewisham,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Member Of Public,Female,Elderly
2015,01-01-15,176,Arriva London South,Arriva London,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown
